     Orden	Palabra	Frec.absoluta 	 Frec.normalizada 
102	año 	  100,790	66066
103	antes	  100,761	66047
104	estado 	  100,757	66044
105	contra	  100,403	65812
106	sino	   98,145	64332
107	forma	   97,165	63690
108	caso 	   96,979	63568
109	nada 	   96,340	63149
110	hacer	   96,063	62968
111	general	   95,768	62774
112	estaba 	   93,607	61358
113	poco 	   92,205	60439
114	estos	   91,398	59910
115	presidente	   91,350	59878
116	mayor 	   90,166	59102
117	ante	   87,990	57676
118	unos 	   86,747	56861
119	les	   86,363	56609
120	algo	   85,999	56371
121	hacia	   85,122	55796
122	casa 	   85,064	55758
123	ellos	   84,636	55477
124	ayer	   84,310	55264
125	hecho 	   83,898	54994
126	primera	   83,428	54685
127	mucho  	   83,240	54562
128	mientras	   82,630	54162
129	además  	   82,576	54127
130	quien	   82,555	54113
131	momento  	   82,132	53836
132	millones	   81,999	53749
133	esto	   81,979	53736
134	españa 	   80,195	52566
135	hombre 	   80,152	52538
136	están	   79,844	52336
137	pues 	   79,642	52204
138	hoy 	   78,479	51441
139	lugar	   78,250	51291
140	madrid 	   77,837	51021
141	nacional	   77,541	50827
142	trabajo	   77,478	50785
143	otras	   77,428	50753
144	mejor	   77,315	50678
145	nuevo 	   77,262	50644
146	decir	   76,867	50385
147	algunos 	   76,107	49887
148	entonces 	   75,706	49624
149	todas	   75,517	49500
150	días	   75,144	49255
151	debe 	   74,229	48656
152	política	   73,464	48154
153	cómo 	   73,100	47916
154	casi	   72,965	47827
155	toda	   72,248	47357
156	tal	   71,419	46814
157	luego	   70,522	46226
158	pasado 	   70,484	46201
159	primer	   69,918	45830
160	medio 	   69,273	45407
161	va	   69,098	45292
162	estas	   69,071	45275
163	sea 	   68,921	45176
164	tenía	   67,093	43978
165	nunca 	   66,939	43877
166	poder	   66,900	43852
167	aquí	   66,821	43800
168	ver	   66,479	43576
169	veces 	   66,441	43551
170	embargo 	   66,116	43338
171	partido	   65,492	42929
172	personas 	   65,410	42875
173	grupo	   65,390	42862
174	cuenta 	   65,368	42847
175	pueden 	   63,889	41878
176	tienen	   63,652	41723
177	misma  	   63,462	41598
178	nueva 	   63,427	41575
179	cual	   62,309	40842
180	fueron	   62,220	40784
181	mujer	   61,936	40598
182	frente	   61,469	40292
183	josé	   61,080	40037
184	tras	   60,064	39371
185	cosas 	   59,580	39053
186	fin	   59,108	38744
187	ciudad	   59,049	38705
188	he	   58,965	38650
189	social	   58,484	38335
190	manera 	   58,134	38106
191	tener	   58,029	38037
192	sistema 	   57,810	37893
193	será	   57,808	37892
194	historia	   57,791	37881
195	muchos  	   57,523	37705
196	juan	   57,204	37496
197	tipo	   56,606	37104
198	cuatro	   56,570	37080
199	dentro	   56,565	37077
200	nuestro	   56,307	36908
201	punto	   56,259	36877
202	dice	   56,253	36873
203	ello	   55,768	36555
204	cualquier	   55,361	36288
205	noche 	   55,281	36235
206	aún 	   54,761	35895
207	agua 	   54,702	35856
208	parece 	   54,554	35759
209	haber	   54,150	35494
210	situación	   54,020	35409
211	fuera	   53,979	35382
212	bajo	   53,243	34900
213	grandes 	   52,362	34322
214	nuestra	   52,321	34295
215	ejemplo 	   51,803	33956
216	acuerdo 	   51,485	33747
217	habían	   50,397	33034
218	usted	   50,073	32822
219	estados 	   49,814	32652
220	hizo	   49,733	32599
221	nadie	   49,689	32570
222	países	   49,445	32410
223	horas	   49,389	32373
224	posible	   49,082	32172
225	tarde	   48,963	32094
226	ley	   48,945	32082
227	importante	   48,397	31723
228	guerra	   48,391	31719
229	desarrollo	   48,378	31711
230	proceso 	   48,064	31505
231	realidad	   47,650	31233
232	sentido	   47,559	31174
233	lado	   47,315	31014
234	mí	   47,248	30970
235	tu	   47,057	30845
236	cambio 	   46,814	30685
237	allí	   46,771	30657
238	mano 	   46,657	30583
239	eran	   46,367	30392
240	estar	   46,282	30337
241	san 	   46,004	30155
242	número 	   45,985	30142
243	sociedad 	   45,974	30135
244	unas 	   45,565	29867
245	centro	   45,456	29795
246	padre	   45,236	29651
247	gente	   45,235	29650
248	final	   44,920	29444
249	relación	   44,617	29245
250	cuerpo 	   44,470	29149
251	obra	   44,308	29043
252	incluso	   44,285	29028
253	través	   44,212	28980
254	último	   44,086	28897
255	madre 	   43,697	28642
256	mis 	   43,564	28555
257	modo 	   43,478	28499
258	problemas 	   43,295	28379
259	cinco	   43,283	28371
260	carlos	   42,834	28077
261	hombres 	   42,544	27887
262	información	   42,423	27807
263	ojos	   42,371	27773
264	muerte 	   42,341	27753
265	nombre 	   42,284	27716
266	algunas 	   42,223	27676
267	público	   42,201	27662
268	mujeres 	   42,094	27592
269	siglo	   41,890	27458
270	todavía	   41,792	27394
271	meses  	   41,650	27301
272	mañana  	   41,368	27116
273	esos 	   41,184	26995
274	nosotros	   40,870	26789
275	hora	   40,581	26600
276	muchas  	   40,566	26590
277	pueblo	   40,425	26498
278	alguna	   40,406	26485
279	dar	   40,396	26479
280	problema 	   40,295	26412
281	don 	   40,224	26366
282	da	   40,191	26344
283	tú	   40,119	26297
284	derecho 	   39,939	26179
285	verdad	   39,924	26169
286	maría	   39,812	26096
287	unidos	   39,806	26092
288	podría	   39,797	26086
289	sería	   39,731	26043
290	junto	   39,521	25905
291	cabeza 	   39,451	25859
292	aquel	   39,377	25811
293	luis	   39,370	25806
294	cuanto 	   38,519	25248
295	tierra	   38,352	25139
296	equipo	   38,214	25048
297	segundo 	   38,160	25013
298	director	   38,096	24971
299	dicho	   38,074	24957
300	cierto	   37,979	24894
301	casos 	   37,796	24774
302	manos  	   37,736	24735
303	nivel	   37,419	24527
304	podía	   37,403	24517
305	familia	   37,376	24499
306	largo	   37,315	24459
307	partir	   37,278	24435
308	falta	   37,196	24381
309	llegar	   37,054	24288
310	propio	   36,979	24239
311	ministro	   36,337	23818
312	cosa 	   36,267	23772
313	primero	   36,232	23749
314	seguridad	   36,054	23632
315	hemos  	   35,988	23589
316	mal 	   35,964	23573
317	trata	   35,744	23429
318	algún	   35,564	23311
319	tuvo	   35,490	23263
320	respecto	   35,394	23200
321	semana  	   35,354	23174
322	varios	   35,315	23148
323	real	   35,222	23087
324	sé	   35,154	23042
325	voz	   34,982	22930
326	paso 	   34,921	22890
327	señor	   34,905	22879
328	mil	   34,834	22833
329	quienes 	   34,743	22773
330	proyecto	   34,716	22755
331	mercado 	   34,677	22730
332	mayoría 	   34,634	22702
333	luz	   34,617	22690
334	claro	   34,589	22672
335	iba	   34,380	22535
336	éste	   34,338	22508
337	pesetas 	   34,204	22420
338	orden	   33,982	22274
339	español 	   33,920	22234
340	buena 	   33,759	22128
341	quiere	   33,735	22112
342	aquella	   33,723	22104
343	programa 	   33,620	22037
344	palabras	   33,485	21948
345	internacional	   33,448	21924
346	van	   33,398	21891
347	esas 	   33,382	21881
348	segunda 	   33,363	21869
349	empresa 	   33,301	21828
350	puesto 	   33,254	21797
351	ahí	   33,248	21793
352	propia	   33,149	21728
353	m 	   33,099	21695
354	libro	   33,056	21667
355	igual	   32,950	21598
356	político	   32,928	21583
357	persona 	   32,756	21471
358	últimos	   32,689	21427
359	ellas	   32,635	21391
360	total	   32,539	21328
361	creo	   32,504	21305
362	tengo	   32,413	21246
363	dios	   32,373	21220
364	c	   32,345	21201
365	española 	   32,140	21067
366	condiciones 	   32,094	21037
367	méxico 	   32,084	21030
368	fuerza	   32,082	21029
369	solo	   32,010	20982
370	único	   31,999	20974
371	acción	   31,789	20837
372	amor 	   31,690	20772
373	policía	   31,598	20712
374	puerta	   31,503	20649
375	pesar	   31,436	20605
376	zona 	   31,365	20559
377	sabe 	   31,358	20554
378	calle	   31,330	20536
379	interior	   31,198	20449
380	tampoco 	   31,014	20329
381	música 	   30,968	20299
382	ningún	   30,962	20295
383	vista	   30,952	20288
384	campo  	   30,775	20172
385	buen 	   30,756	20160
386	hubiera	   30,754	20158
387	saber	   30,644	20086
388	obras	   30,575	20041
389	razón	   30,539	20017
390	ex	   30,522	20006
391	niños	   30,449	19958
392	presencia	   30,426	19943
393	tema 	   30,398	19925
394	dinero	   30,386	19917
395	comisión 	   30,350	19894
396	antonio	   30,339	19886
397	servicio	   30,318	19873
398	hijo	   30,298	19859
399	última	   30,269	19840
400	ciento	   30,146	19760
401	estoy	   30,136	19753
402	hablar	   30,127	19747
403	dio	   30,123	19745
404	minutos 	   30,012	19672
405	producción 	   29,875	19582
406	camino 	   29,830	19553
407	seis	   29,812	19541
408	quién	   29,760	19507
409	fondo	   29,750	19500
410	dirección	   29,708	19473
411	papel	   29,702	19469
412	demás  	   29,623	19417
413	barcelona	   29,613	19410
414	idea	   29,613	19410
415	especial	   29,458	19309
416	diferentes	   29,378	19256
417	dado 	   29,292	19200
418	base 	   29,243	19168
419	capital	   29,220	19153
420	ambos  	   29,178	19125
421	europa 	   29,171	19121
422	libertad	   29,119	19087
423	relaciones	   29,055	19045
424	espacio 	   28,844	18906
425	medios 	   28,828	18896
426	ir	   28,757	18849
427	actual	   28,719	18824
428	población	   28,668	18791
429	empresas  	   28,653	18781
430	estudio	   28,640	18773
431	salud	   28,630	18766
432	servicios	   28,547	18712
433	haya 	   28,528	18699
434	principio	   28,476	18665
435	siendo	   28,468	18660
436	cultura	   28,382	18604
437	anterior	   28,310	18556
438	alto	   28,306	18554
439	media 	   28,292	18545
440	mediante 	   28,252	18518
441	primeros	   28,193	18480
442	arte	   28,165	18461
443	paz 	   28,159	18457
444	sector	   28,156	18455
445	imagen 	   28,109	18425
446	medida 	   28,101	18419
447	deben 	   28,008	18358
448	datos	   28,003	18355
449	consejo 	   27,968	18332
450	personal	   27,930	18307
451	interés	   27,919	18300
452	julio	   27,919	18300
453	grupos 	   27,863	18263
454	miembros  	   27,843	18250
455	ninguna 	   27,822	18236
456	existe	   27,779	18208
457	cara	   27,756	18193
458	edad 	   27,731	18177
459	etc	   27,709	18162
460	movimiento 	   27,696	18154
461	visto	   27,677	18141
462	llegó	   27,556	18062
463	puntos 	   27,488	18018
464	actividad	   27,283	17883
465	bueno 	   27,256	17865
466	uso 	   27,235	17852
467	niño	   27,157	17801
468	difícil	   27,109	17769
469	joven	   27,024	17713
470	futuro	   26,989	17690
471	aquellos	   26,975	17681
472	mes 	   26,958	17670
473	pronto	   26,934	17654
474	soy 	   26,903	17634
475	hacía	   26,850	17599
476	nuevos 	   26,828	17585
477	nuestros	   26,789	17559
478	estaban 	   26,694	17497
479	posibilidad	   26,611	17443
480	sigue	   26,580	17422
481	cerca	   26,495	17367
482	resultados	   26,413	17313
483	educación 	   26,327	17257
484	atención	   26,299	17238
485	gonzález 	   26,281	17226
486	capacidad 	   26,228	17192
487	efecto	   26,209	17179
488	necesario	   26,149	17140
489	valor	   26,106	17112
490	aire	   26,060	17081
491	investigación	   26,001	17043
492	siguiente	   25,891	16971
493	figura	   25,859	16950
494	central	   25,780	16898
495	comunidad  	   25,745	16875
496	necesidad 	   25,699	16845
497	serie	   25,677	16830
498	organización	   25,647	16811
499	nuevas 	   25,638	16805
500	calidad	   25,597	16778
501	economía 	   25,553	16749
502	carácter	   25,528	16733
503	jefe	   25,526	16731
504	estamos 	   25,495	16711
505	prensa 	   25,472	16696
506	control	   25,219	16530
507	sociales	   25,197	16516
508	universidad	   25,155	16488
509	militar	   25,150	16485
510	cabo 	   25,125	16469
511	diez	   25,114	16461
512	fuerzas	   25,106	16456
513	congreso 	   25,073	16435
514	ésta	   25,041	16414
515	hijos	   24,995	16383
516	justicia	   24,983	16376
517	mundial 	   24,963	16362
518	dólares	   24,939	16347
519	juego	   24,922	16336
520	económica  	   24,845	16285
521	políticos	   24,824	16271
522	duda 	   24,821	16269
523	recursos	   24,800	16256
524	pública	   24,775	16239
525	crisis	   24,760	16229
526	próximo 	   24,728	16208
527	tenemos 	   24,716	16201
528	decisión	   24,685	16180
529	varias	   24,657	16162
530	popular	   24,543	16087
531	tenido	   24,472	16041
532	apenas 	   24,440	16020
533	época 	   24,358	15966
534	banco 	   24,341	15955
535	presente	   24,211	15869
536	menor 	   24,142	15824
537	quiero	   24,054	15767
538	pasar	   24,048	15763
539	resultado	   24,030	15751
540	televisión	   23,938	15691
541	encuentra 	   23,833	15622
542	gracias	   23,794	15596
543	ministerio	   23,781	15588
544	conjunto	   23,735	15557
545	defensa 	   23,717	15546
546	alguien	   23,626	15486
547	queda 	   23,600	15469
548	hacen 	   23,508	15409
549	pasa 	   23,503	15405
550	resto	   23,366	15316
551	causa 	   23,283	15261
552	seguir	   23,261	15247
553	allá	   23,155	15177
554	palabra	   23,090	15135
555	voy	   23,067	15120
556	cuya 	   23,048	15107
557	vamos 	   23,036	15099
558	mar 	   23,022	15090
559	estudios	   23,011	15083
560	derechos 	   22,989	15068
561	importancia	   22,969	15055
562	cuales	   22,961	15050
563	contrario	   22,957	15048
564	manuel 	   22,924	15026
565	garcía	   22,851	14978
566	fuerte	   22,828	14963
567	sol	   22,823	14960
568	jóvenes	   22,791	14939
569	apoyo 	   22,776	14929
570	habría	   22,760	14918
571	civil	   22,758	14917
572	miguel	   22,755	14915
573	pedro	   22,738	14904
574	partidos	   22,728	14897
575	libre	   22,640	14840
576	fuentes	   22,592	14808
577	administración	   22,536	14772
578	común  	   22,536	14772
579	dejar	   22,499	14747
580	cine	   22,492	14743
581	salir	   22,447	14713
582	comunicación 	   22,434	14705
583	b	   22,407	14687
584	experiencia	   22,402	14684
585	demasiado  	   22,378	14668
586	plan	   22,279	14603
587	respuesta 	   22,259	14590
588	energía	   22,241	14578
589	izquierda	   22,232	14572
590	función	   22,148	14517
591	principal	   22,074	14469
592	superior	   22,014	14429
593	naturaleza	   22,002	14422
594	podemos  	   21,958	14393
595	unión	   21,933	14376
596	especialmente 	   21,931	14375
597	rey	   21,907	14359
598	domingo 	   21,823	14304
599	favor	   21,818	14301
600	cantidad	   21,812	14297
601	elecciones	   21,781	14277
602	clase	   21,733	14245
603	productos 	   21,731	14244
604	españoles 	   21,693	14219
605	conocer 	   21,681	14211
606	teatro	   21,663	14199
607	importantes	   21,597	14156
608	evitar	   21,587	14150
609	color	   21,575	14142
610	actividades	   21,564	14134
611	mesa 	   21,558	14130
612	p	   21,518	14104
613	decía	   21,458	14065
614	cuyo 	   21,444	14056
615	debido	   21,378	14013
616	alta	   21,377	14012
617	francisco	   21,361	14001
618	secretario	   21,351	13995
619	objeto	   21,336	13985
620	quizá	   21,323	13976
621	posición	   21,168	13875
622	parecía	   21,152	13864
623	natural	   21,146	13860
624	elementos 	   21,133	13852
625	hubo 	   21,112	13838
626	objetivo	   21,097	13828
627	formas 	   21,083	13819
628	única	   21,076	13815
629	pueda 	   21,061	13805
630	origen	   21,055	13801
631	blanco	   21,035	13788
632	mismos  	   21,006	13769
633	lleva	   20,947	13730
634	económico  	   20,927	13717
635	opinión	   20,927	13717
636	ayuda 	   20,918	13711
637	oficial	   20,905	13702
638	silencio	   20,896	13697
639	buenos 	   20,881	13687
640	pensar 	   20,880	13686
641	república	   20,854	13669
642	dónde 	   20,846	13664
643	sangre 	   20,798	13632
644	encuentro 	   20,719	13581
645	siquiera	   20,708	13573
646	autor	   20,676	13552
647	reunión	   20,609	13508
648	haciendo 	   20,582	13491
649	suelo	   20,565	13480
650	muestra 	   20,563	13478
651	viejo	   20,558	13475
652	encima 	   20,522	13451
653	resulta	   20,497	13435
654	tomar 	   20,492	13432
655	bastante	   20,488	13429
656	siete	   20,483	13426
657	lucha	   20,434	13394
658	pudo 	   20,404	13374
659	amigos 	   20,369	13351
660	línea	   20,338	13331
661	sur	   20,334	13328
662	pocos 	   20,289	13299
663	medidas 	   20,225	13257
664	norte	   20,173	13223
665	partes	   20,137	13199
666	iglesia	   20,101	13175
667	tratamiento	   20,030	13129
668	existencia	   19,997	13107
669	cargo	   19,935	13067
670	grande 	   19,882	13032
671	américa 	   19,874	13027
672	boca 	   19,829	12997
673	plaza	   19,792	12973
674	pie	   19,780	12965
675	trabajadores	   19,723	12928
676	poner	   19,722	12927
677	existen	   19,634	12869
678	viene	   19,630	12867
679	permite	   19,607	12852
680	análisis	   19,554	12817
681	argentina	   19,553	12816
682	acto	   19,520	12795
683	hechos 	   19,465	12759
684	tiempos 	   19,394	12712
685	políticas	   19,285	12641
686	radio	   19,271	12631
687	puedo 	   19,230	12605
688	crecimiento	   19,202	12586
689	francia	   19,193	12580
690	compañía 	   19,178	12570
691	amigo 	   19,176	12569
692	autoridades	   19,175	12568
693	realizar	   19,166	12563
694	acciones 	   19,075	12503
695	padres 	   19,075	12503
696	diario	   19,064	12496
697	ve	   19,059	12492
698	derecha 	   19,049	12486
699	ambiente 	   19,000	12454
700	i	   18,980	12441
701	habrá	   18,951	12422
702	precisamente 	   18,930	12408
703	enfermedad 	   18,927	12406
704	especie 	   18,903	12390
705	ejército	   18,900	12388
706	santa	   18,890	12382
707	cambios 	   18,886	12379
708	río	   18,885	12378
709	sabía	   18,873	12371
710	seguro 	   18,856	12359
711	espera 	   18,850	12355
712	momentos  	   18,847	12353
713	viaje	   18,834	12345
714	quería	   18,827	12340
715	ocho 	   18,818	12334
716	vivir	   18,817	12334
717	región	   18,771	12304
718	formación	   18,743	12285
719	escuela 	   18,722	12272
720	cuarto	   18,721	12271
721	valores	   18,677	12242
722	quedó 	   18,674	12240
723	participación	   18,598	12190
724	éxito	   18,595	12188
725	baja	   18,542	12154
726	artículo	   18,504	12129
727	principales	   18,490	12119
728	fernando	   18,468	12105
729	metros 	   18,468	12105
730	marcha 	   18,427	12078
731	régimen 	   18,382	12049
732	consecuencia 	   18,358	12033
733	conocimiento 	   18,346	12025
734	corazón 	   18,331	12015
735	campaña  	   18,261	11969
736	estructura	   18,261	11969
737	efectos	   18,253	11964
738	finalmente	   18,231	11950
739	modelo 	   18,221	11943
740	carta	   18,218	11941
741	construcción	   18,098	11863
742	médico 	   18,083	11853
743	miedo 	   18,049	11830
744	mayores 	   17,976	11783
745	entrada	   17,955	11769
746	humanos  	   17,917	11744
747	sean 	   17,892	11727
748	actitud	   17,843	11695
749	deja	   17,838	11692
750	dejó	   17,827	11685
751	d	   17,810	11674
752	llevar	   17,798	11666
753	negro	   17,774	11650
754	texto	   17,714	11611
755	mitad	   17,705	11605
756	estuvo	   17,681	11589
757	alrededor	   17,639	11562
758	acerca 	   17,598	11535
759	peso 	   17,589	11529
760	humano  	   17,581	11524
761	pequeño 	   17,577	11521
762	fecha	   17,551	11504
763	serán	   17,529	11490
764	doctor	   17,526	11488
765	ideas	   17,495	11467
766	vino	   17,491	11465
767	materia	   17,468	11450
768	llega	   17,456	11442
769	carrera	   17,451	11438
770	cierta	   17,389	11398
771	sola	   17,362	11380
772	psoe 	   17,360	11379
773	lejos	   17,339	11365
774	juez	   17,328	11358
775	características	   17,307	11344
776	riesgo	   17,271	11320
777	fácil	   17,205	11277
778	diferencia	   17,178	11259
779	cultural	   17,164	11250
780	libros	   17,146	11238
781	práctica	   17,142	11236
782	mayo 	   17,123	11223
783	nuestras	   17,121	11222
784	programas 	   17,118	11220
785	memoria 	   17,083	11197
786	llegado	   17,052	11177
787	plazo	   16,976	11127
788	expresión	   16,966	11120
789	diciembre	   16,954	11113
790	mantener 	   16,948	11109
791	enero	   16,929	11096
792	volver	   16,898	11076
793	cuadro 	   16,891	11071
794	producto	   16,851	11045
795	produce 	   16,845	11041
796	europea 	   16,842	11039
797	conciencia	   16,829	11031
798	tenían	   16,811	11019
799	atrás	   16,786	11003
800	felipe	   16,782	11000
801	creación	   16,777	10997
802	chile	   16,768	10991
803	precio	   16,767	10990
804	película	   16,761	10986
805	puerto	   16,749	10978
806	fuego	   16,685	10936
807	cuestión	   16,666	10924
808	pasó 	   16,644	10909
809	costa	   16,638	10905
810	supuesto 	   16,637	10905
811	local	   16,607	10885
812	habla	   16,597	10879
813	aspectos 	   16,569	10860
814	cuba 	   16,565	10858
815	sala	   16,524	10831
816	cámara 	   16,523	10830
817	vuelta	   16,521	10829
818	vía	   16,508	10820
819	mirada 	   16,481	10803
820	mejores 	   16,443	10778
821	informe	   16,436	10773
822	unidad	   16,427	10767
823	distintos	   16,415	10759
824	suerte	   16,390	10743
825	tales	   16,386	10740
826	mira	   16,334	10706
827	llamado 	   16,312	10692
828	técnica	   16,308	10689
829	título	   16,308	10689
830	s	   16,293	10679
831	principios	   16,282	10672
832	octubre	   16,228	10637
833	volvió	   16,207	10623
834	período	   16,199	10618
835	g	   16,194	10614
836	encontrar	   16,166	10596
837	democracia 	   16,159	10592
838	aumento 	   16,145	10582
839	fútbol	   16,137	10577
840	prueba 	   16,113	10561
841	consumo  	   16,095	10550
842	pese 	   16,043	10515
843	ocasiones 	   16,026	10504
844	exterior	   15,988	10479
845	solución	   15,967	10466
846	u	   15,967	10466
847	hija	   15,958	10460
848	sueño 	   15,944	10451
849	parís	   15,929	10441
850	capaz 	   15,925	10438
851	ocasión 	   15,924	10437
852	industria	   15,902	10423
853	adelante	   15,900	10422
854	salida	   15,899	10421
855	ciencia	   15,885	10412
856	asunto 	   15,844	10385
857	asociación	   15,835	10379
858	puso 	   15,831	10377
859	intereses	   15,830	10376
860	oro	   15,811	10363
861	podrá	   15,804	10359
862	pregunta	   15,741	10318
863	oposición	   15,736	10314
864	entrar	   15,711	10298
865	señora 	   15,705	10294
866	señaló	   15,699	10290
867	santiago	   15,697	10289
868	dolor	   15,685	10281
869	zonas 	   15,679	10277
870	comercio 	   15,637	10249
871	operación	   15,633	10247
872	tribunal	   15,609	10231
873	instituciones	   15,606	10229
874	temas 	   15,569	10205
875	militares	   15,566	10203
876	junio	   15,555	10196
877	marco 	   15,548	10191
878	sectores	   15,541	10186
879	hacerlo	   15,539	10185
880	aspecto 	   15,528	10178
881	razones 	   15,527	10177
882	contenido	   15,481	10147
883	juicio	   15,481	10147
884	electoral	   15,465	10137
885	considera	   15,460	10133
886	tendrá	   15,431	10114
887	mucha  	   15,397	10092
888	voluntad	   15,394	10090
889	dicen	   15,383	10083
890	recuerdo	   15,382	10082
891	socialista	   15,371	10075
892	área	   15,369	10074
893	aparece 	   15,367	10072
894	vio	   15,334	10051
895	cama 	   15,328	10047
896	aun 	   15,317	10040
897	presenta	   15,315	10038
898	pp	   15,293	10024
899	revolución	   15,285	10019
900	busca 	   15,280	10015
901	abril	   15,278	10014
902	rodríguez	   15,272	10010
903	fiscal	   15,265	10006
904	lópez	   15,245	9992
905	victoria	   15,241	9990
906	violencia	   15,235	9986
907	primeras	   15,226	9980
908	pequeña 	   15,214	9972
909	armas 	   15,153	9932
910	debía	   15,149	9929
911	ii	   15,123	9912
912	esfuerzo	   15,109	9903
913	humana  	   15,107	9902
914	posibilidades	   15,090	9891
915	centros	   15,076	9882
916	profesional	   15,075	9881
917	asimismo 	   15,048	9863
918	grado	   15,048	9863
919	has 	   15,027	9850
920	toma 	   15,003	9834
921	distintas	   14,926	9783
922	material	   14,915	9776
923	carne	   14,905	9770
924	llama	   14,903	9768
925	particular	   14,876	9751
926	jorge	   14,867	9745
927	trabajar	   14,837	9725
928	propuesta 	   14,830	9720
929	muerto 	   14,816	9711
930	precios	   14,809	9707
931	reforma	   14,779	9687
932	hermano 	   14,736	9659
933	corte	   14,735	9658
934	comenzó  	   14,733	9657
935	etapa	   14,716	9646
936	obstante	   14,695	9632
937	pone 	   14,685	9625
938	diversos	   14,671	9616
939	visita	   14,660	9609
940	concepto 	   14,657	9607
941	pacientes	   14,637	9594
942	semanas  	   14,603	9572
943	tipos	   14,592	9564
944	solamente 	   14,520	9517
945	deseo 	   14,499	9503
946	sistemas 	   14,484	9494
947	encuentran 	   14,482	9492
948	siguientes	   14,475	9488
949	martín	   14,429	9458
950	suficiente	   14,414	9448
951	marzo 	   14,408	9444
952	propios	   14,404	9441
953	jamás 	   14,371	9420
954	dan 	   14,364	9415
955	club	   14,359	9412
956	instituto	   14,354	9408
957	constitución	   14,299	9372
958	curso	   14,290	9366
959	lenguaje	   14,270	9353
960	estilo	   14,237	9332
961	rosa	   14,180	9294
962	imposible	   14,178	9293
963	pablo	   14,152	9276
964	buscar 	   14,151	9275
965	peor	   14,145	9271
966	piel	   14,128	9260
967	arriba	   14,085	9232
968	generales	   14,073	9224
969	septiembre 	   14,072	9224
970	blanca	   14,061	9216
971	r	   14,041	9203
972	aquellas	   13,996	9174
973	teoría	   13,935	9134
974	animales 	   13,916	9121
975	hicieron	   13,913	9119
976	larga	   13,908	9116
977	perdido	   13,890	9104
978	imágenes 	   13,887	9102
979	paciente	   13,885	9101
980	conseguir	   13,871	9092
981	máximo  	   13,855	9081
982	noviembre 	   13,848	9077
983	j	   13,831	9066
984	líder	   13,830	9065
985	hospital	   13,823	9060
986	diversas	   13,816	9056
987	rafael	   13,804	9048
988	vuelve	   13,799	9045
989	destino	   13,783	9034
990	torno	   13,781	9033
991	proyectos 	   13,773	9028
992	flores	   13,763	9021
993	niveles	   13,759	9018
994	afirmó	   13,758	9018
995	explicó	   13,751	9013
996	n	   13,748	9011
997	somos  	   13,727	8997
998	términos	   13,719	8992
999	premio 	   13,701	8980
